datetime,aggregate,tv,fridge,washing_machine
2024-07-17 23:59:46+00:00,30.0,30.0,0.0,0.0
2024-07-17 23:59:47+00:00,44.0,44.0,0.0,0.0
2024-07-17 23:59:48+00:00,28.0,28.0,0.0,0.0
2024-07-17 23:59:49+00:00,27.0,27.0,0.0,0.0
2024-07-17 23:59:50+00:00,34.0,34.0,0.0,0.0
2024-07-17 23:59:51+00:00,39.0,39.0,0.0,0.0
2024-07-17 23:59:52+00:00,31.0,31.0,0.0,0.0
2024-07-17 23:59:53+00:00,34.0,34.0,0.0,0.0
2024-07-17 23:59:54+00:00,32.0,32.0,0.0,0.0
2024-07-17 23:59:55+00:00,33.0,33.0,0.0,0.0
2024-07-17 23:59:56+00:00,36.0,36.0,0.0,0.0
2024-07-17 23:59:57+00:00,32.0,32.0,0.0,0.0
2024-07-17 23:59:58+00:00,35.0,35.0,0.0,0.0
2024-07-17 23:59:59+00:00,32.0,32.0,0.0,0.0
2024-07-18 00:00:00+00:00,46.0,46.0,0.0,0.0
2024-07-18 00:00:01+00:00,32.0,32.0,0.0,0.0
2024-07-18 00:00:02+00:00,35.0,35.0,0.0,0.0
2024-07-18 00:00:03+00:00,28.0,28.0,0.0,0.0
2024-07-18 00:00:04+00:00,34.0,34.0,0.0,0.0
2024-07-18 00:00:05+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:06+00:00,29.0,29.0,0.0,0.0
2024-07-18 00:00:07+00:00,33.0,33.0,0.0,0.0
2024-07-18 00:00:08+00:00,36.0,36.0,0.0,0.0
2024-07-18 00:00:09+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:10+00:00,27.0,27.0,0.0,0.0
2024-07-18 00:00:11+00:00,27.0,27.0,0.0,0.0
2024-07-18 00:00:12+00:00,40.0,40.0,0.0,0.0
2024-07-18 00:00:13+00:00,33.0,33.0,0.0,0.0
2024-07-18 00:00:14+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:15+00:00,35.0,35.0,0.0,0.0
2024-07-18 00:00:16+00:00,34.0,34.0,0.0,0.0
2024-07-18 00:00:17+00:00,33.0,33.0,0.0,0.0
2024-07-18 00:00:18+00:00,29.0,29.0,0.0,0.0
2024-07-18 00:00:19+00:00,32.0,32.0,0.0,0.0
2024-07-18 00:00:20+00:00,28.0,28.0,0.0,0.0
2024-07-18 00:00:21+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:22+00:00,36.0,36.0,0.0,0.0
2024-07-18 00:00:23+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:24+00:00,54.0,54.0,0.0,0.0
2024-07-18 00:00:25+00:00,34.0,34.0,0.0,0.0
2024-07-18 00:00:26+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:00:27+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:28+00:00,27.0,27.0,0.0,0.0
2024-07-18 00:00:29+00:00,48.0,48.0,0.0,0.0
2024-07-18 00:00:30+00:00,28.0,28.0,0.0,0.0
2024-07-18 00:00:31+00:00,29.0,29.0,0.0,0.0
2024-07-18 00:00:32+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:33+00:00,36.0,36.0,0.0,0.0
2024-07-18 00:00:34+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:00:35+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:36+00:00,52.0,52.0,0.0,0.0
2024-07-18 00:00:37+00:00,44.0,44.0,0.0,0.0
2024-07-18 00:00:38+00:00,70.0,70.0,0.0,0.0
2024-07-18 00:00:39+00:00,35.0,35.0,0.0,0.0
2024-07-18 00:00:40+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:41+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:00:42+00:00,34.0,34.0,0.0,0.0
2024-07-18 00:00:43+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:44+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:45+00:00,56.0,56.0,0.0,0.0
2024-07-18 00:00:46+00:00,39.0,39.0,0.0,0.0
2024-07-18 00:00:47+00:00,29.0,29.0,0.0,0.0
2024-07-18 00:00:48+00:00,42.0,42.0,0.0,0.0
2024-07-18 00:00:49+00:00,29.0,29.0,0.0,0.0
2024-07-18 00:00:50+00:00,43.0,43.0,0.0,0.0
2024-07-18 00:00:51+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:00:52+00:00,35.0,35.0,0.0,0.0
2024-07-18 00:00:53+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:54+00:00,37.0,37.0,0.0,0.0
2024-07-18 00:00:55+00:00,33.0,33.0,0.0,0.0
2024-07-18 00:00:56+00:00,29.0,29.0,0.0,0.0
2024-07-18 00:00:57+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:00:58+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:00:59+00:00,36.0,36.0,0.0,0.0
2024-07-18 00:01:00+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:01:01+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:01:02+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:01:03+00:00,48.0,48.0,0.0,0.0
2024-07-18 00:01:04+00:00,30.0,30.0,0.0,0.0
2024-07-18 00:01:05+00:00,33.0,33.0,0.0,0.0
2024-07-18 00:01:06+00:00,28.0,28.0,0.0,0.0
2024-07-18 00:01:07+00:00,34.0,34.0,0.0,0.0
2024-07-18 00:01:08+00:00,31.0,31.0,0.0,0.0
2024-07-18 00:01:09+00:00,36.0,36.0,0.0,0.0
2024-07-18 00:01:10+00:00,34.0,34.0,0.0,0.0
2024-07-18 00:01:11+00:00,43.0,43.0,0.0,0.0
2024-07-18 00:01:12+00:00,35.0,35.0,0.0,0.0
2024-07-18 00:01:13+00:00,29.0,29.0,0.0,0.0
